,Disease,Prescribed_for,DrugName_list
403,Osteoarthritis,Osteoarthritis,"['Acetaminophen / codeine', 'Sodium hyaluronate', 'Duloxetine', 'Etodolac', 'Celebrex', 'Limbrel', 'Lodine', 'Synvisc', 'Synvisc-One', 'Euflexxa', 'Meloxicam', 'Orthovisc', 'Hylan g-f 20', 'Diclofenac', 'Celecoxib', 'Voltaren', 'Hyaluronan', 'Voltaren Gel', 'Naproxen', 'Arthrotec', 'Mobic', 'Salonpas Pain Patch', 'Supartz', 'Aspirin', 'Famotidine / ibuprofen', 'Diclofenac / misoprostol', 'Kenalog-40', 'S-adenosylmethionine', 'Pennsaid', 'Tylenol with Codeine #4', 'Disalcid', 'Relafen', 'Chondroitin / glucosamine / methylsulfonylmethane', 'Ketoprofen', 'Prednisone', 'Piroxicam', 'Vimovo', 'Capsaicin', 'Bioflavonoids / zinc glycinate', 'Naprelan', 'Zostrix', 'Methylprednisolone', 'Oxaprozin', 'Triamcinolone', 'Nabumetone', 'Esomeprazole / naproxen', 'Cymbalta', 'Zorvolex', 'Duexis', 'Chondroitin / glucosamine', 'Motrin', 'Acetaminophen / aspirin / caffeine', 'Bextra', 'Indocin']"
404,Multiple myeloma,Osteolytic Bone Lesions of Multiple Myeloma,"['Zoledronic acid', 'Zometa']"
405,Bone metastasis,Osteolytic Bone Metastases of Solid Tumors,"['Zometa', 'Zoledronic acid']"
406,Osteoporosis,Osteoporosis,"['Teriparatide', 'Denosumab', 'Prolia', 'Premarin', 'Risedronate', 'Zoledronic acid', 'Boniva', 'Forteo', 'Actonel', 'Ibandronate', 'Calci-Chew', 'Miacalcin Nasal', 'Atelvia', 'Caltrate 600+D', 'Reclast']"
407,Otitis externa,Otitis Externa,"['Ciprofloxacin / dexamethasone', 'Vosol HC', 'Acetic acid / hydrocortisone']"
408,Otitis media,Otitis Media,"['Antipyrine / benzocaine', 'Cefdinir', 'Azithromycin', 'Amoxicillin / clavulanate', 'Augmentin', 'Levaquin', 'Ciprofloxacin / dexamethasone', 'Clarithromycin', 'Ciprodex', 'A / B Otic', 'Zithromax', 'Levofloxacin', 'Omnicef', 'Amoxicillin', 'Cephalexin']"
409,Ovarian cyst,Ovarian Cysts,"['Ethinyl estradiol / levonorgestrel', 'Seasonique', 'Ortho Tri-Cyclen Lo', 'Mononessa', 'Sprintec', 'Previfem', 'Ethinyl estradiol / norgestimate', 'Tri-Sprintec', 'Orsythia', 'Quasense']"
410,,Overactive Bladde,"['Mirabegron', 'Myrbetriq', 'OnabotulinumtoxinA', 'Tolterodine', 'Oxytrol', 'VESIcare', 'Botox', 'Toviaz', 'Detrol', 'Sanctura', 'Enablex', 'Solifenacin', 'Detrol LA', 'Fesoterodine', 'Flomax', 'Oxybutynin', 'Flavoxate', 'Trospium', 'Gelnique', 'B & O Supprettes', 'Belladonna / opium', 'Tamsulosin']"
411,,Ovulation Induction,"['Clomiphene', 'Chorionic gonadotropin (hcg)', 'Clomid']"
412,Paget's disease of bone,Paget's Disease,"['Risedronate', 'Zoledronic acid']"
413,Pain,Pain,"['Duloxetine', 'Ultram', 'Acetaminophen / hydrocodone', 'Oxycodone', 'Demerol', 'Nalbuphine', 'Gabapentin', 'Tramadol', 'Buprenex', 'Fentanyl', 'Percocet', 'OxyContin', 'Flector Patch', 'Avinza', 'Oxymorphone', 'Toradol', 'Ketorolac', 'Norco', 'Opana', 'Meperidine', 'Hysingla ER', 'Amitriptyline', 'Acetaminophen / oxycodone', 'Fentanyl Transdermal System', 'Zipsor', 'Vicodin', 'Methadone', 'Nucynta ER', 'Zohydro ER', 'Tapentadol', 'Nortriptyline', 'Dilaudid', 'Motrin IB', 'Hydromorphone', 'Tylenol with Codeine #3', 'Talwin Nx', 'Hydroxyzine', 'Butrans', 'Diclofenac', 'Imipramine', 'Panlor DC', 'Endocet', 'Roxicodone', 'Etodolac', 'Opana ER', 'Advil', 'Lortab', 'Fiorinal', 'Indomethacin', 'Nubain', 'Buprenorphine', 'Methadose', 'Ultram ER', 'Nucynta', 'Pregabalin', 'Elavil', 'Toradol IV / IM', 'Lyrica', 'Acetaminophen / codeine', 'Lidocaine', 'Acetaminophen / caffeine / dihydrocodeine', 'Naproxen', 'Neurontin', 'Celecoxib', 'Naprosyn', 'Hydrocodone / ibuprofen', 'Morphine', 'Stadol', 'Lidoderm', 'Balacet', 'Voltaren Gel', 'Indocin SR', 'Acetaminophen / tramadol', 'Cymbalta', 'Kadian', 'Tylox', 'Ibuprofen', 'Motrin Infant Drops', 'Xylocaine Jelly', 'Embeda', 'Propoxyphene', 'Morphine / naltrexone', 'Dolophine', 'Camphor / menthol', 'Myophen', 'Naloxone / pentazocine', 'Advil Liqui-Gels', 'Panlor SS', 'Ketoprofen', 'Celebrex', 'Hydrocodone', 'Butorphanol', 'Acetaminophen', 'Ultracet', 'Indocin', 'Feldene', 'MS Contin', 'Roxicet', 'Codeine', 'Acetaminophen / propoxyphene', 'Magnesium salicylate', 'Vicoprofen', 'Ryzolt', 'Darvon', 'Naprelan', 'Bextra', 'Tylenol PM', 'Cataflam', 'Exparel', 'Acetaminophen / phenyltoloxamine', 'Ketamine', 'Orudis KT', 'Belbuca', 'Anacin', 'Voltaren', 'Acetaminophen / aspirin / caffeine / salicylamide', 'Duragesic', 'Fentora', 'Levorphanol', 'Bupivacaine liposome', 'Choline salicylate / magnesium salicylate', 'Orudis', 'Acetaminophen / aspirin', 'Lidocaine Viscous', 'Tylenol', 'Aspirin / oxycodone', 'Sprix', 'Vicodin ES', 'Methadone Diskets', 'Trezix', 'Reprexain', 'Acetaminophen / diphenhydramine', 'Magnacet', 'Exalgo', 'Actiq', 'Ponstel', 'Capsaicin', 'Levacet', 'Vistaril', 'Diphenhydramine / naproxen', 'Tylenol 8 Hour', 'Pamelor', 'Levo-Dromoran', 'Pentazocine', 'Vicodin HP', 'ConZip', ""Children's Motrin"", 'Motrin', 'Dilaudid-HP', 'Sublimaze', 'Oxydose', 'Sulindac', 'Zorvolex', 'Trilisate', 'Pramoxine', 'Tylenol with Codeine #4', 'Aspirin / caffeine']"
414,,Pain/Feve,['Acetaminophen / aspirin / caffeine']
415,Type 1 diabetes,Pancreatic Cance,['Sunitinib']
416,Exocrine pancreatic insufficiency,Pancreatic Exocrine Dysfunction,"['Zenpep', 'Pancrelipase']"
417,,Panic Disorde,"['Clonazepam', 'BuSpar', 'Klonopin', 'Paroxetine', 'Sertraline', 'Pristiq', 'Buspirone', 'Xanax', 'Desvenlafaxine', 'Alprazolam', 'Zoloft', 'Effexor XR', 'Ativan', 'Venlafaxine', 'Lorazepam', 'Lorazepam Intensol', 'Celexa', 'Fluoxetine', 'Propranolol', 'Bupropion', 'Xanax XR', 'Klonopin Wafer', 'Paxil', 'Paxil CR', 'Pamelor', 'Citalopram', 'Nortriptyline', 'Prozac', 'Clomipramine', 'Alprazolam Intensol', 'Wellbutrin', 'Nefazodone']"
418,,Paranoid Disorde,"['Risperidone', 'Olanzapine', 'Zyprexa Zydis', 'Clozapine', 'Zyprexa', 'Ziprasidone']"
419,Parkinson's disease,Parkinson's Disease,"['Stalevo', 'Neupro', 'Rotigotine', 'Carbidopa / levodopa', 'Amantadine', 'Azilect', 'Bromocriptine', 'Exelon', 'Apomorphine', 'Entacapone', 'Zelapar', 'Rytary', 'Carbidopa / entacapone / levodopa', 'Pramipexole', 'Sinemet', 'Ropinirole', 'Requip XL', 'Apokyn', 'Eldepryl']"
420,Parkinsonism,Parkinsonism,['Kemadrin']
421,,Pe,['Propranolol']
422,Growth hormone deficiency,Pediatric Growth Hormone Deficiency,"['Somatropin', 'Tev-Tropin']"
423,Pelvic inflammatory disease,Pelvic Inflammatory Disease,"['Metronidazole', 'Doxycycline']"
424,Bullous pemphigoid,Pemphigoid,['Dapsone']
425,Pemphigus vulgaris,Pemphigus,['Rituximab']
426,,Peptic Ulce,"['Chlordiazepoxide / clidinium', 'Pantoprazole', 'Famotidine']"
427,Coronary artery disease,Percutaneous Coronary Intervention,"['Eptifibatide', 'Clopidogrel', 'Angiomax']"
428,Test anxiety,Performance Anxiety,['Inderal']
429,Menopause,Perimenopausal Symptoms,"['Clonidine', 'Progesterone']"
430,Dysmenorrhea,Period Pain,"['Naproxen', 'Ponstel', 'Naprelan', 'Ibuprofen', 'Diclofenac', 'Ansaid', 'Cataflam', 'Mefenamic acid', 'Aleve']"
431,,Periodic Limb Movement Disorde,"['Neurontin', 'Clonazepam', 'Klonopin', 'Ropinirole', 'Mirapex', 'Gabapentin']"
432,Periodontal disease,Periodontitis,"['Chlorhexidine', 'Peridex']"
433,Perioral dermatitis,Perioral Dermatitis,"['Pimecrolimus', 'Protopic']"
434,Peripheral neuropathy,Peripheral Neuropathy,"['Gabapentin', 'Pregabalin', 'Duloxetine', 'Lyrica', 'Gabarone', 'Neurontin', 'Levocarnitine', 'Cymbalta']"
435,Peritonitis,Peritonitis,"['Vancomycin', 'Clindamycin']"
436,,Persistent Depressive Disorde,"['Sertraline', 'Bupropion']"
437,Whooping cough,Pertussis,['Clarithromycin']
438,Tetanus,Pertussis Prophylaxis,['Clarithromycin']
439,Pharyngitis,Pharyngitis,['Prednisone']
440,Actinic elastosis,Photoaging of the Skin,"['Tretinoin', 'Retin-A']"
441,Keratosis pilaris,Pityriasis rubra pilaris,['Triamcinolone']
442,Psoriasis,Plaque Psoriasis,"['Ixekizumab', 'Cosentyx', 'Humira', 'Taltz', 'Otezla', 'Apremilast', 'Taclonex Scalp', 'Adalimumab', 'Etanercept', 'Siliq', 'Enbrel', 'Secukinumab', 'Brodalumab', 'Betamethasone / calcipotriene', 'Betamethasone', 'Taclonex']"
443,,Platelet Aggregation Inhibition,['Clopidogrel']
444,Meningococcal disease,Pneumococcal Disease Prophylaxis,"['Pneumococcal 13-valent vaccine', 'Prevnar 13']"
445,Pneumonia,Pneumonia,"['Clarithromycin', 'Moxifloxacin', 'Avelox', 'Biaxin XL', 'Levofloxacin', 'Cefuroxime', 'Azithromycin', 'Doxycycline', 'Rocephin', 'Biaxin', 'Ceftriaxone', 'Levaquin', 'Ciprofloxacin', 'Piperacillin / tazobactam', 'Amoxicillin / clavulanate', 'Cefprozil', 'Amoxil', 'Metronidazole', 'Vantin', 'Flagyl']"
446,Polycystic ovary syndrome,Polycystic Ovary Syndrome,"['Drospirenone / ethinyl estradiol', 'Necon 1 / 35', 'Metformin', 'Junel Fe 1 / 20', 'Desogestrel / ethinyl estradiol', 'Ethinyl estradiol / levonorgestrel', 'Loestrin 24 Fe', 'Apri', 'Kariva', 'Falmina', 'Drospirenone / ethinyl estradiol / levomefolate calcium', 'Ortho-Novum 1 / 35', 'Ethinyl estradiol / norethindrone', 'Microgestin Fe 1 / 20', 'Glucophage', 'Yaz']"
447,,Post Traumatic Stress Disorde,"['Prazosin', 'Minipress', 'Zoloft', 'Sertraline', 'Venlafaxine', 'Paroxetine', 'Saphris', 'Quetiapine', 'Aripiprazole', 'Amitriptyline', 'Asenapine', 'Elavil', 'Risperidone', 'Lamotrigine', 'Abilify', 'Dronabinol', 'Paxil', 'Mirtazapine', 'Fluvoxamine', 'Desvenlafaxine', 'Pristiq', 'Seroquel']"
448,Gallstone,Post-Cholecystectomy Diarrhea,['Cholestyramine']
449,Postherpetic neuralgia,Postherpetic Neuralgia,"['Gabapentin enacarbil', 'Pregabalin', 'Gabapentin', 'Horizant', 'Capsaicin', 'Lidocaine', 'Lyrica', 'Gralise', 'Neurontin']"
450,Menopause,Postmenopausal Symptoms,"['Drospirenone / estradiol', 'Estradiol', 'Estropipate', 'Estradiol Patch', 'Cenestin', 'Minivelle', 'Ethinyl estradiol / norethindrone', 'Angeliq', 'Premphase', 'femhrt', 'Conjugated estrogens / medroxyprogesterone', 'Climara', 'Vivelle-Dot', 'Activella', 'Estradiol / norethindrone', 'Evamist', 'Premarin', 'Conjugated estrogens', 'Desvenlafaxine', 'Elestrin', 'Bazedoxifene / conjugated estrogens', 'Evening Primrose Oil', 'Prempro', 'Femring', 'Esterified estrogens / methyltestosterone', 'Estrace', 'Enjuvia', 'Esterified estrogens', 'Pristiq', 'Divigel', 'Estradiol / levonorgestrel']"
451,Glaucoma,Postoperative Increased Intraocular Pressure,['Ilevro']
452,Glaucoma,Postoperative Ocular Inflammation,"['Ketorolac', 'Alrex', 'Diclofenac', 'Prolensa', 'Acuvail', 'Difluprednate']"
453,Pain,Postoperative Pain,"['Toradol', 'Ketorolac', 'Bupivacaine']"
454,Postpartum depression,Postpartum Depression,"['Venlafaxine', 'Zoloft', 'Paroxetine', 'Effexor XR', 'Sertraline', 'Citalopram', 'Paxil']"
455,Postural orthostatic tachycardia syndrome,Postural Orthostatic Tachycardia Syndrome,"['Fludrocortisone', 'Midodrine', 'Florinef']"
456,,Pre-Exposure Prophylaxis,['Emtricitabine / tenofovir']
457,,Precocious Puberty,"['Histrelin', 'Lupron Depot-PED']"
458,Delayed ejaculation,Premature Ejaculation,['Clomipramine']
459,,Premature Lab,"['Progesterone', 'Hydroxyprogesterone', 'Terbutaline', 'Makena']"
460,Premature ventricular contraction,Premature Ventricular Depolarizations,['Metoprolol']
461,,Premenstrual Dysphoric Disorde,"['Zoloft', 'Drospirenone / ethinyl estradiol / levomefolate calcium', 'Fluoxetine', 'Yaz', 'Prozac', 'Drospirenone / ethinyl estradiol', 'Citalopram', 'Sertraline', 'Yasmin', 'Paroxetine', 'Gianvi', 'Sarafem', 'Escitalopram', 'Celexa', 'Beyaz', 'Bupropion']"
462,Premenstrual syndrome,Premenstrual Syndrome,"['Ethinyl estradiol / levonorgestrel', 'Premsyn PMS', 'Pamabrom', 'LoSeasonique']"
463,Urinary tract infection,Prevention of Bladder infection,"['Macrodantin', 'Methenamine', 'Nitrofurantoin', 'Bactrim', 'Macrobid']"
464,Cardiovascular disease,Prevention of Cardiovascular Disease,"['Atorvastatin', 'Crestor']"
465,Tooth decay,Prevention of Dental Caries,['Fluoride']
466,Gitelman syndrome,Prevention of Hypokalemia,['Klor-Con']
467,Osteoporosis,Prevention of Osteoporosis,"['Zoledronic acid', 'Reclast']"
468,Atrial fibrillation,Prevention of Thromboembolism in Atrial Fibrillation,"['Pradaxa', 'Eliquis', 'Rivaroxaban', 'Dabigatran', 'Apixaban', 'Warfarin', 'Coumadin']"
469,Primary aldosteronism,Primary Hyperaldosteronism,['Spironolactone']
470,Primary immunodeficiency,Primary Immunodeficiency Syndrome,"['Immune globulin intravenous and subcutaneous', 'Hizentra', 'Immune globulin subcutaneous', 'Gamunex-C', 'Immune globulin intravenous']"
471,Enuresis,Primary Nocturnal Enuresis,"['Desmopressin', 'DDAVP']"
472,Primary ovarian insufficiency,Primary Ovarian Failure,"['Estradiol', 'Vivelle-Dot', 'Premarin']"
473,Primary ovarian insufficiency,Progesterone Insufficiency,['Progesterone']
474,,Prostate Cance,"['Leuprolide', 'Eligard', 'Radium 223 dichloride', 'Zytiga', 'Casodex', 'Abiraterone', 'Provenge', 'Bicalutamide', 'Lupron', 'Degarelix', 'Lupron Depot', 'Triptorelin', 'Zoladex']"
475,Acute prostatitis,Prostatitis,"['Ciprofloxacin', 'Sulfamethoxazole / trimethoprim', 'Levofloxacin', 'Cipro', 'Doxycycline', 'Bactrim DS', 'Levaquin', 'Oxybutynin']"
476,Itch,Pruritus,"['Pramoxine', 'Atarax', 'Crotamiton', 'Hydroxyzine', 'Benzocaine', 'Gabapentin', 'Hydrocortisone', 'Cortizone-10', 'Calamine']"
477,Pseudobulbar affect,Pseudobulbar Affect,"['Dextromethorphan / quinidine', 'Nuedexta']"
478,Idiopathic intracranial hypertension,Pseudotumor Cerebri,"['Acetazolamide', 'Diamox Sequels', 'Diamox']"
479,Psoriasis,Psoriasis,"['Elocon', 'Methotrexate', 'Ustekinumab', 'Ammonium lactate / halobetasol', 'Halobetasol', 'Clobetasol', 'Stelara', 'Humira', 'Enbrel', 'Adalimumab', 'Dovonex', 'Lidex', 'Taclonex', 'Fluocinonide', 'Betamethasone / calcipotriene', 'Vectical', 'Calcipotriene', 'Calcitriol', 'Clobex', 'Pramosone', 'Temovate', 'Desonide', 'Flurandrenolide', 'Etanercept', 'Hydrocortisone / pramoxine', 'Psoriasin', 'Triamcinolone', 'Taclonex Scalp', 'MG217 Medicated Tar', 'Cyclosporine', 'Mometasone', 'Topicort', 'Olux', 'Acitretin', 'Kenalog']"
480,Psoriatic arthritis,Psoriatic Arthritis,"['Humira', 'Enbrel', 'Apremilast', 'Adalimumab', 'Ustekinumab', 'Sulfasalazine', 'Infliximab', 'Simponi', 'Otezla', 'Etanercept', 'Methotrexate', 'Cimzia', 'Remicade', 'Golimumab', 'Leflunomide', 'Stelara']"
481,Psychosis,Psychosis,"['Haldol', 'Thiothixene', 'Prolixin', 'Trilafon', 'Chlorpromazine', 'Perphenazine', 'Haloperidol', 'Fluphenazine', 'Iloperidone', 'Prochlorperazine']"
482,Nerve compression syndrome,Pudendal Neuralgia,['Amitriptyline']
483,Pulmonary edema,Pulmonary Edema,['Furosemide']
484,Pulmonary embolism,Pulmonary Embolism,"['Xarelto', 'Apixaban', 'Rivaroxaban', 'Eliquis', 'Arixtra']"
485,Pulmonary embolism,"Pulmonary Embolism, First Event",['Warfarin']
486,Pulmonary hypertension,Pulmonary Hypertension,"['Uptravi', 'Treprostinil', 'Opsumit', 'Epoprostenol', 'Letairis', 'Macitentan', 'Adcirca', 'Flolan', 'Sildenafil', 'Ambrisentan', 'Tadalafil', 'Revatio', 'Selexipag', 'Tyvaso']"
487,,Rat-bite Feve,['Penicillin v potassium']
488,Raynaud syndrome,Raynaud's Syndrome,"['Nitroglycerin', 'Nifedipine', 'DynaCirc CR', 'Felodipine', 'Trolamine salicylate']"
489,Complex regional pain syndrome,Reflex Sympathetic Dystrophy Syndrome,"['Lyrica', 'Trazodone', 'Amitriptyline', 'Pregabalin', 'Gabapentin', 'Neurontin', 'Savella']"
490,Renal cell carcinoma,Renal Cell Carcinoma,"['Sutent', 'Aldesleukin', 'Nivolumab', 'Pazopanib', 'Sunitinib', 'Votrient', 'Nexavar', 'Provera']"
491,Proximal renal tubular acidosis,Renal Tubular Acidosis,['Potassium citrate']
492,Restless legs syndrome,Restless Legs Syndrome,"['Ropinirole', 'Sinemet', 'Clonazepam', 'Carbidopa / levodopa', 'Horizant', 'Pramipexole', 'Tramadol', 'Mirapex', 'Gabapentin', 'Pregabalin', 'Requip', 'Klonopin', 'Ultram', 'Gabapentin enacarbil', 'Neupro', 'Rotigotine', 'Neurontin', 'Lyrica']"
493,,Reversal of Opioid Sedation,"['Naloxone', 'Evzio']"
494,Rheumatoid arthritis,Rheumatoid Arthritis,"['Tofacitinib', 'Prednisone', 'Humira', 'Etanercept', 'Hydroxychloroquine', 'Methotrexate', 'Adalimumab', 'Simponi Aria', 'Actemra', 'Simponi', 'Remicade', 'Gold sodium thiomalate', 'Meloxicam', 'Enbrel', 'Vicodin', 'Motrin', 'Orencia', 'Diclofenac', 'Golimumab', 'Acetaminophen / hydrocodone', 'Xeljanz', 'Naprosyn', 'Plaquenil', 'Methylprednisolone', 'Kenalog-40', 'Voltaren', 'Naproxen', 'Abatacept', 'Rituximab', 'Celebrex', 'Leflunomide', 'Diclofenac / misoprostol', 'Tramadol', 'Fenoprofen', 'Relafen', 'Esomeprazole / naproxen', 'Cimzia', 'Celecoxib', 'Sulfazine', 'Arthrotec', 'Tolectin DS', 'Vimovo', 'Indomethacin', 'Triamcinolone', 'Rituxan', 'Mycophenolate mofetil', 'Infliximab', 'Arava', 'Sulfasalazine', 'Dolobid', 'Duexis', 'Aristospan', 'Daypro', 'Piroxicam', 'Mobic', 'Tocilizumab', 'Advil Liqui-Gels', 'Feldene', 'Sulindac', 'Lortab']"
495,Allergic rhinitis,Rhinitis,"['Flonase', 'Veramyst', 'Allerx Dose Pack DF', 'Fluticasone', 'Allergy DN PE']"
496,Rhinorrhea,Rhinorrhea,"['Ipratropium', 'Atrovent Nasal']"
497,Rosacea,Rosacea,"['Ivermectin', 'Metronidazole', 'Rosula', 'Minocycline', 'MetroCream', 'Soolantra', 'Finacea', 'Azelaic acid', 'Doxycycline', 'Oracea', 'Sulfacetamide sodium / sulfur', 'Brimonidine', 'MetroGel', 'Noritate', 'Prascion RA', 'Doryx', 'Isotretinoin', 'Azelex', 'Mirvaso', 'Oxymetazoline', 'Rosac', 'Rozex']"
498,Gastroenteritis,Salmonella Gastroenteritis,['Ciprofloxacin']
499,Sarcoidosis,Sarcoidosis,"['Prednisone', 'Corticotropin', 'Kenalog-40']"
500,Scabies,Scabies,['Permethrin']
501,Subacute combined degeneration of spinal cord,Schilling Test,['Vitamin B12']
502,,Schizoaffective Disorde,"['Seroquel', 'Abilify', 'Risperdal', 'Carbamazepine', 'Asenapine', 'Paliperidone', 'Ziprasidone', 'Geodon', 'Lamotrigine', 'Latuda', 'Lamictal', 'Lurasidone', 'Quetiapine', 'Olanzapine', 'Aripiprazole', 'Invega', 'Risperidone', 'Saphris', 'Fluoxetine', 'Lithium', 'Invega Sustenna', 'Valproic acid', 'Lithobid', 'Seroquel XR', 'Zyprexa']"
503,Schizophrenia,Schizophrenia,"['Lurasidone', 'Ziprasidone', 'Paliperidone', 'Olanzapine', 'Vraylar', 'Clozapine', 'Invega', 'Seroquel', 'Brexpiprazole', 'Risperdal', 'Aripiprazole', 'Geodon', 'Abilify Maintena', 'Cariprazine', 'Saphris', 'Risperidone', 'Latuda', 'Trifluoperazine', 'Fanapt', 'Abilify', 'Quetiapine', 'Thioridazine', 'Thorazine', 'Invega Trinza', 'Clozaril', 'Invega Sustenna', 'Iloperidone', 'Seroquel XR', 'Asenapine', 'Risperdal Consta', 'Zyprexa']"
504,Schnitzler syndrome,Schnitzler Syndrome,"['Kineret', 'Anakinra']"
505,Sciatica,Sciatica,"['Flexeril', 'Naproxen', 'Aleve', 'Diclofenac', 'Arthrotec', 'Indomethacin', 'Indocin', 'Cyclobenzaprine', 'Advil', 'Ibuprofen', 'Voltaren-XR', 'Nabumetone', 'Cataflam', 'Voltaren', 'Diclofenac / misoprostol', 'Amrix', 'Relafen']"
506,,Seasonal Affective Disorde,['Bupropion']
507,Allergic conjunctivitis,Seasonal Allergic Conjunctivitis,"['Olopatadine', 'Patanol', 'Ketorolac']"
508,Seborrhoeic dermatitis,Seborrheic Dermatitis,"['Xolegel', 'Rosula', 'Derma-Smoothe / FS (Scalp)', 'Loprox', 'Ketoconazole', 'Ciclopirox', 'Pyrithione zinc']"
509,Secondary hyperparathyroidism,Secondary Hyperparathyroidism,['Cinacalcet']
510,,Sedation,"['Hydroxyzine', 'Ativan', 'Trazodone', 'Lorazepam', 'Vistaril', 'Promethazine', 'Fentanyl', 'Phenergan']"
511,Seizure,Seizure Prevention,"['Topiramate', 'Klonopin', 'Clonazepam', 'Lamictal', 'Lamotrigine', 'Topamax', 'Valium', 'Diazepam']"
512,Seizure,Seizures,"['Levetiracetam', 'Phenobarbital', 'Luminal', 'Vimpat', 'Keppra', 'Lacosamide', 'Trileptal', 'Zonisamide', 'Briviact', 'Oxcarbazepine', 'Mysoline', 'Diazepam', 'Progesterone', 'Topiramate', 'Dilantin', 'Primidone', 'Zonegran', 'Aptiom', 'Eslicarbazepine', 'Phenytoin', 'Perampanel', 'Zarontin', 'Fycompa', 'Tiagabine']"
513,Erectile dysfunction,"Sexual Dysfunction, SSRI Induced","['Sildenafil', 'Yohimbine', 'Viagra', 'Bupropion', 'Buspirone', 'Dexedrine']"
514,,Shift Work Sleep Disorde,"['Armodafinil', 'Nuvigil', 'Provigil', 'Modafinil']"
515,Silent sinus syndrome,Sinus Symptoms,"['Advil Cold and Sinus', 'Sine-Off Maximum Strength', 'Advil Cold and Sinus Liqui-Gels', 'VisRx Dose Pack', 'Dexbrompheniramine / pseudoephedrine', 'Ibuprofen / pseudoephedrine', 'Drixoral Cold and Allergy', 'Guaifenesin / phenylephrine', 'Acetaminophen / dexbrompheniramine / pseudoephedrine', 'Ornex', 'Mometasone', 'Chlorpheniramine / methscopolamine / pseudoephedrine']"
516,Sinusitis,Sinusitis,"['Cefuroxime', 'Levofloxacin', 'Cefdinir', 'Azithromycin', 'Clarithromycin', 'Avelox', 'Prednisone', 'Azithromycin Dose Pack', 'Amoxicillin / clavulanate', 'Sulfamethoxazole / trimethoprim', 'Moxifloxacin', 'Zithromax', 'Augmentin', 'Biaxin', 'Levaquin', 'Cipro', 'Cedax', 'Cefprozil', 'Clindamycin', 'Omnicef', 'Amoxicillin', 'Bactrim', 'Augmentin XR', 'Ceftin', 'Cefzil', 'Ceftibuten', 'Ciprofloxacin']"
517,Sjögren syndrome,Sjogren's Syndrome,"['Hydroxychloroquine', 'Plaquenil', 'Evoxac']"
518,Hives,Skin Cance,['Fluorouracil']
519,,"Skin Disinfection, Preoperative","['pHisoHex', 'Hexachlorophene', 'Chlorhexidine']"
520,Dermatomyositis,Skin Rash,['Prednisone']
521,Fungal infection,Skin and Structure Infection,"['Mupirocin', 'Zyvox', 'Linezolid', 'Amoxicillin / clavulanate', 'Bactroban', 'Gentamicin', 'Augmentin', 'Cefepime', 'Minocycline']"
522,Necrotizing fasciitis,Skin or Soft Tissue Infection,"['Clindamycin', 'Levofloxacin', 'Amoxicillin / clavulanate', 'Cephalexin', 'Erythromycin', 'Flagyl', 'Keflex', 'Azithromycin', 'Augmentin', 'Amoxil', 'Doxycycline', 'Azithromycin Dose Pack', 'Ciprofloxacin']"
523,Chronic obstructive pulmonary disease,Smoking Cessation,"['Chantix', 'Nicoderm CQ', 'Bupropion', 'Varenicline', 'Nicotine', 'Zyban', 'Nicotrol Inhaler', 'Nicorette', 'Commit', 'Buproban', 'Nortriptyline', 'Habitrol', 'Nicotrol NS']"
524,,Social Anxiety Disorde,"['Zoloft', 'Strattera', 'Paroxetine', 'Sertraline', 'Venlafaxine', 'Paxil', 'Paxil CR', 'Risperdal', 'Fluvoxamine', 'Atomoxetine']"
525,Soft-tissue sarcoma,Soft Tissue Sarcoma,"['Pazopanib', 'Votrient']"
526,,Somat,['Amitriptyline']
527,Axial spondyloarthritis,Spondyloarthritis,"['Golimumab', 'Adalimumab', 'Infliximab']"
528,Spondylolisthesis,Spondylolisthesis,['Gabapentin']
529,Cutaneous squamous-cell carcinoma,Squamous Cell Carcinoma,['Cetuximab']
530,Status epilepticus,Status Epilepticus,['Lorazepam']
531,Ulcerative colitis,Steroid Responsive Inflammatory Conditions,['Fluorometholone']
532,Adult-onset Still's disease,Still's Disease,['Kineret']
533,,Stomach Cance,['Xeloda']
534,,Stomach Ulce,"['Protonix IV', 'Sucralfate', 'Omeprazole', 'Lansoprazole', 'Aciphex', 'Tums Regular Strength', 'Protonix', 'Prevacid', 'Pantoprazole', 'Zegerid']"
535,Strabismus,Strabismus,['Botox']
536,Streptococcal pharyngitis,Strep Throat,"['Amoxicillin / clavulanate', 'Penicillin v potassium', 'Clarithromycin', 'Biaxin', 'Erythromycin', 'Gemifloxacin', 'Penicillin VK', 'Augmentin', 'Cefdinir', 'Erythrocin', 'Factive']"
537,Streptococcal pharyngitis,Streptococcal Infection,"['Penicillin v potassium', 'Levofloxacin']"
538,Strongyloidiasis,Strongyloidiasis,['Ivermectin']
539,Subarachnoid hemorrhage,Subarachnoid Hemorrhage,['Nimotop']
540,,Submental Fullness,['Deoxycholic acid']
541,Sunburn,Sunburn,['Solarcaine Burn Relief']
542,Supraventricular tachycardia,Supraventricular Tachycardia,"['Diltiazem', 'Cardizem CD', 'Tenormin', 'Metoprolol', 'Adenosine', 'Bisoprolol', 'Atenolol']"
543,Madelung's deformity,Surgical Prophylaxis,"['Clindamycin', 'Cefuroxime', 'Metronidazole']"
544,Swine influenza,Swine Flu,"['Oseltamivir', 'Tamiflu']"
545,Syringomyelia,Syringomyelia,['Tramadol']
