Prescribed_for,DrugName_list,Disease,Symptoms,Symptoms_Length,Number_of_Drugs,Preprocessed_Symptoms
Restless Legs Syndrome,"Ropinirole,Sinemet,Clonazepam,Carbidopa / levodopa,Horizant,Pramipexole,Tramadol,Mirapex,Gabapentin,Pregabalin,Requip,Klonopin,Ultram,Gabapentin enacarbil,Neupro,Rotigotine,Neurontin,Lyrica",Restless legs syndrome,Unpleasant feeling in the legs that briefly improves with moving them,69,18,unpleasant feeling leg briefly improves moving
Reversal of Opioid Sedation,"Naloxone,Evzio",,nan,3,2,nan
Rheumatoid Arthritis,"Tofacitinib,Prednisone,Humira,Etanercept,Hydroxychloroquine,Methotrexate,Adalimumab,Simponi Aria,Actemra,Simponi,Remicade,Gold sodium thiomalate,Meloxicam,Enbrel,Vicodin,Motrin,Orencia,Diclofenac,Golimumab,Acetaminophen / hydrocodone,Xeljanz,Naprosyn,Plaquenil,Methylprednisolone,Kenalog-40,Voltaren,Naproxen,Abatacept,Rituximab,Celebrex,Leflunomide,Diclofenac / misoprostol,Tramadol,Fenoprofen,Relafen,Esomeprazole / naproxen,Cimzia,Celecoxib,Sulfazine,Arthrotec,Tolectin DS,Vimovo,Indomethacin,Triamcinolone,Rituxan,Mycophenolate mofetil,Infliximab,Arava,Sulfasalazine,Dolobid,Duexis,Aristospan,Daypro,Piroxicam,Mobic,Tocilizumab,Advil Liqui-Gels,Feldene,Sulindac,Lortab",Rheumatoid arthritis,"Warm, swollen, painful joints",29,60,warm swollen painful joint
Rhinitis,"Flonase,Veramyst,Allerx Dose Pack DF,Fluticasone,Allergy DN PE",Allergic rhinitis,"Stuffy itchy nose, sneezing , red, itchy, and watery eyes, swelling around the eyes, itchy ears",95,5,stuffy itchy nose sneezing red itchy watery eye swelling around eye itchy ear
Rhinorrhea,"Ipratropium,Atrovent Nasal",Rhinorrhea,"['Rhinorrhea is characterized by an excess amount of mucus produced by the mucous membranes that line the nasal cavities. The membranes create mucus faster than it can be processed', 'causing a backup of mucus in the nasal cavities. As the cavity fills up', 'it blocks off the air passageway', 'causing difficulty breathing through the nose. Air caught in nasal cavities – namely the sinus cavities ', 'cannot be released and the resulting pressure may cause a headache or facial pain. If the sinus passage remains blocked', 'there is a chance that sinusitis may result. If the mucus backs up through the Eustachian tube ', 'it may result in ear pain or an ear infection . Excess mucus accumulating in the throat or back of the nose may cause a post-nasal drip ', 'resulting in a sore throat or coughing. Additional symptoms include sneezing ', 'nosebleeds ', 'and nasal discharge.']",883,2,rhinorrhea characterized excess amount mucus produced mucous membrane line nasal cavity membrane create mucus faster processed causing backup mucus nasal cavity cavity fill block air passageway causing difficulty breathing nose air caught nasal cavity – namely sinus cavity released resulting pressure may cause headache facial pain sinus passage remains blocked chance sinusitis may result mucus back eustachian tube may result ear pain ear infection excess mucus accumulating throat back nose may cause postnasal drip resulting sore throat coughing additional symptom include sneezing nosebleed nasal discharge
Rosacea,"Ivermectin,Metronidazole,Rosula,Minocycline,MetroCream,Soolantra,Finacea,Azelaic acid,Doxycycline,Oracea,Sulfacetamide sodium / sulfur,Brimonidine,MetroGel,Noritate,Prascion RA,Doryx,Isotretinoin,Azelex,Mirvaso,Oxymetazoline,Rosac,Rozex",Rosacea,"Facial redness , swelling , and small and superficial dilated blood vessels",75,22,facial redness swelling small superficial dilated blood vessel
Salmonella Gastroenteritis,Ciprofloxacin,Gastroenteritis,"Diarrhea , vomiting , abdominal pain, fever",43,1,diarrhea vomiting abdominal pain fever
Sarcoidosis,"Prednisone,Corticotropin,Kenalog-40",Sarcoidosis,"Depends on the organ involved Lungs : wheezing , cough, shortness of breath , chest pain Skin : lumps, ulcers, discolored skin Children : weight loss, bone pain, feeling tired",175,3,depends organ involved lung wheezing cough shortness breath chest pain skin lump ulcer discolored skin child weight loss bone pain feeling tired
Scabies,Permethrin,Scabies,"itchiness , pimple -like rash",29,1,itchiness pimple like rash
Schilling Test,Vitamin B12,Subacute combined degeneration of spinal cord,"['The onset is gradual and uniform. The pathological findings of subacute combined degeneration consist of patchy losses of myelin in the dorsal and lateral columns. Patients present with weakness of the legs', 'arms', 'and trunk', 'and tingling and numbness that progressively worsens. Vision changes and change of mental state may also be present. Bilateral spastic paresis may develop and pressure', 'vibration', 'and touch sense are diminished. A positive Babinski sign may be seen. Prolonged deficiency of vitamin B 12 leads to irreversible nervous system damage. HIV-associated vacuolar myelopathy can present with a similar pattern of dorsal column and corticospinal tract demyelination .']",697,1,onset gradual uniform pathological finding subacute combined degeneration consist patchy loss myelin dorsal lateral column patient present weakness leg arm trunk tingling numbness progressively worsens vision change change mental state may also present bilateral spastic paresis may develop pressure vibration touch sense diminished positive babinski sign may seen prolonged deficiency vitamin b 12 lead irreversible nervous system damage hivassociated vacuolar myelopathy present similar pattern dorsal column corticospinal tract demyelination
Schizoaffective Disorde,"Seroquel,Abilify,Risperdal,Carbamazepine,Asenapine,Paliperidone,Ziprasidone,Geodon,Lamotrigine,Latuda,Lamictal,Lurasidone,Quetiapine,Olanzapine,Aripiprazole,Invega,Risperidone,Saphris,Fluoxetine,Lithium,Invega Sustenna,Valproic acid,Lithobid,Seroquel XR,Zyprexa",,nan,3,25,nan
Schizophrenia,"Lurasidone,Ziprasidone,Paliperidone,Olanzapine,Vraylar,Clozapine,Invega,Seroquel,Brexpiprazole,Risperdal,Aripiprazole,Geodon,Abilify Maintena,Cariprazine,Saphris,Risperidone,Latuda,Trifluoperazine,Fanapt,Abilify,Quetiapine,Thioridazine,Thorazine,Invega Trinza,Clozaril,Invega Sustenna,Iloperidone,Seroquel XR,Asenapine,Risperdal Consta,Zyprexa",Schizophrenia,"Hallucinations (usually hearing voices ), delusions , social isolation , flat affect , confused thinking",104,31,hallucination usually hearing voice delusion social isolation flat affect confused thinking
Schnitzler Syndrome,"Kineret,Anakinra",Schnitzler syndrome,"['The typical onset is at around 55 years old', 'and the symptoms are recurrent hives ', 'mostly on the torso and limbs', 'often with recurring fever', 'joint pain', 'bone pain', 'muscle pain', 'headache', 'fatigue', 'and loss of weight.']",239,2,typical onset around 55 year old symptom recurrent hive mostly torso limb often recurring fever joint pain bone pain muscle pain headache fatigue loss weight
Sciatica,"Flexeril,Naproxen,Aleve,Diclofenac,Arthrotec,Indomethacin,Indocin,Cyclobenzaprine,Advil,Ibuprofen,Voltaren-XR,Nabumetone,Cataflam,Voltaren,Diclofenac / misoprostol,Amrix,Relafen",Sciatica,"Pain going down the leg from the lower back , weakness or numbness of the affected leg",86,17,pain going leg lower back weakness numbness affected leg
Seasonal Affective Disorde,Bupropion,,nan,3,1,nan
Seasonal Allergic Conjunctivitis,"Olopatadine,Patanol,Ketorolac",Allergic conjunctivitis,"['The conjunctiva is a thin membrane that covers the eye. When an allergen irritates the conjunctiva', 'common symptoms that occur in the eye include: ocular itching ', 'eyelid swelling', 'tearing', 'photophobia ', 'watery discharge', 'and foreign body sensation (with pain).']",277,3,conjunctiva thin membrane cover eye allergen irritates conjunctiva common symptom occur eye include ocular itching eyelid swelling tearing photophobia watery discharge foreign body sensation pain
Seborrheic Dermatitis,"Xolegel,Rosula,Derma-Smoothe / FS (Scalp),Loprox,Ketoconazole,Ciclopirox,Pyrithione zinc",Seborrhoeic dermatitis,"Flaking, dry or greasy, red, itchy, and inflamed skin",53,7,flaking dry greasy red itchy inflamed skin
Secondary Hyperparathyroidism,Cinacalcet,Secondary hyperparathyroidism,"['Bone and joint pain are common', 'as are limb deformities. The elevated PTH has also pleiotropic effects on the blood', 'immune system', 'and neurological system.']",166,1,bone joint pain common limb deformity elevated pth also pleiotropic effect blood immune system neurological system
Sedation,"Hydroxyzine,Ativan,Trazodone,Lorazepam,Vistaril,Promethazine,Fentanyl,Phenergan",,nan,3,8,nan
Seizure Prevention,"Topiramate,Klonopin,Clonazepam,Lamictal,Lamotrigine,Topamax,Valium,Diazepam",Seizure,Variable,8,8,variable
Seizures,"Levetiracetam,Phenobarbital,Luminal,Vimpat,Keppra,Lacosamide,Trileptal,Zonisamide,Briviact,Oxcarbazepine,Mysoline,Diazepam,Progesterone,Topiramate,Dilantin,Primidone,Zonegran,Aptiom,Eslicarbazepine,Phenytoin,Perampanel,Zarontin,Fycompa,Tiagabine",Seizure,Variable,8,24,variable
"Sexual Dysfunction, SSRI Induced","Sildenafil,Yohimbine,Viagra,Bupropion,Buspirone,Dexedrine",Erectile dysfunction,Inability to gain or maintain an erection,41,6,inability gain maintain erection
Shift Work Sleep Disorde,"Armodafinil,Nuvigil,Provigil,Modafinil",,nan,3,4,nan
Sinus Symptoms,"Advil Cold and Sinus,Sine-Off Maximum Strength,Advil Cold and Sinus Liqui-Gels,VisRx Dose Pack,Dexbrompheniramine / pseudoephedrine,Ibuprofen / pseudoephedrine,Drixoral Cold and Allergy,Guaifenesin / phenylephrine,Acetaminophen / dexbrompheniramine / pseudoephedrine,Ornex,Mometasone,Chlorpheniramine / methscopolamine / pseudoephedrine",Silent sinus syndrome,"facial asymmetry , vision problems, headache",44,12,facial asymmetry vision problem headache
Sinusitis,"Cefuroxime,Levofloxacin,Cefdinir,Azithromycin,Clarithromycin,Avelox,Prednisone,Azithromycin Dose Pack,Amoxicillin / clavulanate,Sulfamethoxazole / trimethoprim,Moxifloxacin,Zithromax,Augmentin,Biaxin,Levaquin,Cipro,Cedax,Cefprozil,Clindamycin,Omnicef,Amoxicillin,Bactrim,Augmentin XR,Ceftin,Cefzil,Ceftibuten,Ciprofloxacin",Sinusitis,"Thick nasal mucus, plugged nose, pain in the face, fever, sore throat, frequent attacks of cough",96,27,thick nasal mucus plugged nose pain face fever sore throat frequent attack cough
Sjogren's Syndrome,"Hydroxychloroquine,Plaquenil,Evoxac",Sjögren syndrome,"Dry mouth , dry eyes , other areas of dryness",45,3,dry mouth dry eye area dryness
Skin Cance,Fluorouracil,Hives,"Red, raised, itchy bumps",24,1,red raised itchy bump
"Skin Disinfection, Preoperative","pHisoHex,Hexachlorophene,Chlorhexidine",,nan,3,3,nan
Skin Rash,Prednisone,Dermatomyositis,"Rash, muscle weakness, weight loss, fever",41,1,rash muscle weakness weight loss fever
Skin and Structure Infection,"Mupirocin,Zyvox,Linezolid,Amoxicillin / clavulanate,Bactroban,Gentamicin,Augmentin,Cefepime,Minocycline",Fungal infection,['Most common mild mycoses often present with a rash. Infections within the skin or under the skin may present with a lump and skin changes. Less common deeper fungal infections may present with pneumonia like symptoms or meningitis .'],236,9,common mild mycoses often present rash infection within skin skin may present lump skin change le common deeper fungal infection may present pneumonia like symptom meningitis
Skin or Soft Tissue Infection,"Clindamycin,Levofloxacin,Amoxicillin / clavulanate,Cephalexin,Erythromycin,Flagyl,Keflex,Azithromycin,Augmentin,Amoxil,Doxycycline,Azithromycin Dose Pack,Ciprofloxacin",Necrotizing fasciitis,"Severe pain , fever , purple colored skin in the affected area",62,13,severe pain fever purple colored skin affected area
Smoking Cessation,"Chantix,Nicoderm CQ,Bupropion,Varenicline,Nicotine,Zyban,Nicotrol Inhaler,Nicorette,Commit,Buproban,Nortriptyline,Habitrol,Nicotrol NS",Chronic obstructive pulmonary disease,"Shortness of breath , chronic cough",35,13,shortness breath chronic cough
Social Anxiety Disorde,"Zoloft,Strattera,Paroxetine,Sertraline,Venlafaxine,Paxil,Paxil CR,Risperdal,Fluvoxamine,Atomoxetine",,nan,3,10,nan
Soft Tissue Sarcoma,"Pazopanib,Votrient",Soft-tissue sarcoma,"['In their early stages', 'soft-tissue sarcomas usually do not cause symptoms. Because soft tissue is relatively elastic', 'tumors can grow rather large', 'pushing aside normal tissue', 'before they are felt or cause any problems. The first noticeable symptom is usually a painless lump or swelling. As the tumor grows', 'it may cause other symptoms', 'such as pain or soreness', 'as it presses against nearby nerves and muscles. If in the abdomen it can cause abdominal pains commonly mistaken for menstrual cramps', 'indigestion', 'or cause constipation.']",558,2,early stage softtissue sarcoma usually cause symptom soft tissue relatively elastic tumor grow rather large pushing aside normal tissue felt cause problem first noticeable symptom usually painless lump swelling tumor grows may cause symptom pain soreness press nearby nerve muscle abdomen cause abdominal pain commonly mistaken menstrual cramp indigestion cause constipation
Somat,Amitriptyline,,nan,3,1,nan
Spondyloarthritis,"Golimumab,Adalimumab,Infliximab",Axial spondyloarthritis,"['Axial spondyloarthritis is predominantly marked by inflammatory pain and/or stiffness affecting the lower back', 'hips and/or buttocks. The side affected may alternate. Some may also experience symptoms in the eyes', 'rib cage', 'shoulders or cervical spine or neck as well. Inflammatory back pain tends to come on gradually', 'become worse at night or after periods of rest (such as in the morning after waking up) and improve after exercise or the use of anti-inflammatory medications such as ibuprofen. People with axial spondyloarthritis may experience alternating periods of remission and flare-ups.']",608,3,axial spondyloarthritis predominantly marked inflammatory pain andor stiffness affecting lower back hip andor buttock side affected may alternate may also experience symptom eye rib cage shoulder cervical spine neck well inflammatory back pain tends come gradually become worse night period rest morning waking improve exercise use antiinflammatory medication ibuprofen people axial spondyloarthritis may experience alternating period remission flareups
Spondylolisthesis,Gabapentin,Spondylolisthesis,,0,1,
Squamous Cell Carcinoma,Cetuximab,Cutaneous squamous-cell carcinoma,Hard lump with a scaly top or ulceration .,42,1,hard lump scaly top ulceration
Status Epilepticus,Lorazepam,Status epilepticus,"Regular pattern of contraction and extension of the arms and legs, movement of one part of the body, unresponsive",113,1,regular pattern contraction extension arm leg movement one part body unresponsive
Steroid Responsive Inflammatory Conditions,Fluorometholone,Ulcerative colitis,"Abdominal pain , diarrhea mixed with blood , weight loss , fever , anemia , dehydration , loss of appetite, fatigue , sores on the skin, urgency to defecate, inability to defecate despite urgency, rectal pain",208,1,abdominal pain diarrhea mixed blood weight loss fever anemia dehydration loss appetite fatigue sore skin urgency defecate inability defecate despite urgency rectal pain
Still's Disease,Kineret,Adult-onset Still's disease,"['The disease typically presents with joint pain ', 'high fevers', 'a salmon-pink macular or maculopapular rash', 'enlargement of the liver and spleen ', 'swollen lymph nodes ', ""and a neutrophil-predominant increased white blood cell count in the blood. Tests for rheumatoid factor and anti-nuclear antibodies are usually negative and serum ferritin is markedly elevated. Patients experiencing a flare-up from adult-onset Still's disease usually report extreme fatigue"", 'swelling of the lymph nodes and', 'less commonly', 'fluid accumulation in the lungs and heart. In rare cases', 'AOSD can cause life-threatening complications', 'including hemophagocytic lymphohistiocytosis', 'IVDC', 'fulminant hepatitis', 'or disabling conditions such as aseptic meningitis and sensorineural hearing loss .']",798,1,disease typically present joint pain high fever salmonpink macular maculopapular rash enlargement liver spleen swollen lymph node neutrophilpredominant increased white blood cell count blood test rheumatoid factor antinuclear antibody usually negative serum ferritin markedly elevated patient experiencing flareup adultonset still disease usually report extreme fatigue swelling lymph node le commonly fluid accumulation lung heart rare case aosd cause lifethreatening complication including hemophagocytic lymphohistiocytosis ivdc fulminant hepatitis disabling condition aseptic meningitis sensorineural hearing loss
Stomach Cance,Xeloda,,nan,3,1,nan
Stomach Ulce,"Protonix IV,Sucralfate,Omeprazole,Lansoprazole,Aciphex,Tums Regular Strength,Protonix,Prevacid,Pantoprazole,Zegerid",,nan,3,10,nan
Strabismus,Botox,Strabismus,Nonaligned eyes,15,1,nonaligned eye
Strep Throat,"Amoxicillin / clavulanate,Penicillin v potassium,Clarithromycin,Biaxin,Erythromycin,Gemifloxacin,Penicillin VK,Augmentin,Cefdinir,Erythrocin,Factive",Streptococcal pharyngitis,"Fever, sore throat, enlarged lymph nodes",40,11,fever sore throat enlarged lymph node
Streptococcal Infection,"Penicillin v potassium,Levofloxacin",Streptococcal pharyngitis,"Fever, sore throat, enlarged lymph nodes",40,2,fever sore throat enlarged lymph node
Strongyloidiasis,Ivermectin,Strongyloidiasis,"abdominal pain , diarrhea , weight loss , itching and rash",58,1,abdominal pain diarrhea weight loss itching rash
Subarachnoid Hemorrhage,Nimotop,Subarachnoid hemorrhage,"Severe headache of rapid onset , vomiting , decreased level of consciousness",76,1,severe headache rapid onset vomiting decreased level consciousness
Submental Fullness,Deoxycholic acid,,nan,3,1,nan
Sunburn,Solarcaine Burn Relief,Sunburn,"['Typically', 'there is initial redness', 'followed by varying degrees of pain', 'proportional in severity to the duration and intensity of sun exposure.']",155,1,typically initial redness followed varying degree pain proportional severity duration intensity sun exposure
Supraventricular Tachycardia,"Diltiazem,Cardizem CD,Tenormin,Metoprolol,Adenosine,Bisoprolol,Atenolol",Supraventricular tachycardia,"Palpitations , feeling faint, sweating, shortness of breath , chest pain .",74,7,palpitation feeling faint sweating shortness breath chest pain
Surgical Prophylaxis,"Clindamycin,Cefuroxime,Metronidazole",Madelung's deformity,"[""It is a congenital subluxation or dislocation of the ulna 's distal end"", 'due to malformation of the bones. Sometimes', 'minor abnormalities of other bone structures', 'often caused by disease or injury', 'such as a fracture of the distal end of the radius with upward displacement of the distal fragment. The deformity varies in degree from a slight protrusion of the lower end of the ulna', 'to complete dislocation of the inferior radio-ulnar joint with marked ulnar deviation of the hand. Severe deformities are associated with congenital absence or hypoplasia of the radius.']",584,3,congenital subluxation dislocation ulna distal end due malformation bone sometimes minor abnormality bone structure often caused disease injury fracture distal end radius upward displacement distal fragment deformity varies degree slight protrusion lower end ulna complete dislocation inferior radioulnar joint marked ulnar deviation hand severe deformity associated congenital absence hypoplasia radius
Swine Flu,"Oseltamivir,Tamiflu",Swine influenza,"['In pigs', 'a swine influenza infection produces fever ', 'lethargy ', 'discharge from the nose or eyes', 'sneezing ', 'coughing ', 'difficulty breathing ', 'eye redness or inflammation', 'and decreased appetite. In some cases', 'the infection can cause miscarriage . However', 'infected pigs may not exhibit any symptoms. Although mortality is usually low (around 1–4%)', 'the virus can cause weight loss and poor growth ', 'in turn causing economic loss to farmers. Infected pigs can lose up to 12 pounds of body weight over a three- to four-week period. Influenza A is responsible for infecting swine and was first identified in 1918. Because both avian and mammalian influenza viruses can bind to receptors in pigs', 'pigs have often been seen as ""mixing vessels""', 'facilitating the evolution of strains that can be passed on to other mammals', 'such as humans.']",869,2,pig swine influenza infection produce fever lethargy discharge nose eye sneezing coughing difficulty breathing eye redness inflammation decreased appetite case infection cause miscarriage however infected pig may exhibit symptom although mortality usually low around 1–4 virus cause weight loss poor growth turn causing economic loss farmer infected pig lose 12 pound body weight three fourweek period influenza responsible infecting swine first identified 1918 avian mammalian influenza virus bind receptor pig pig often seen mixing vessel facilitating evolution strain passed mammal human
Syringomyelia,Tramadol,Syringomyelia,"['Syringomyelia causes a wide variety of neuropathic symptoms', 'due to damage to the spinal cord. Patients may experience severe chronic pain', 'abnormal sensations and loss of sensation', 'particularly in the hands. Some patients experience paralysis or paresis ', 'temporarily or permanently. A syrinx may also cause disruptions in the parasympathetic and sympathetic nervous systems ', 'leading to abnormal body temperature or sweating', 'bowel control issues', 'or other problems. If the syrinx is higher up in the spinal cord or affecting the brainstem', 'as in syringobulbia', 'vocal cord paralysis ', 'ipsilateral tongue wasting', 'trigeminal nerve sensory loss', 'and other signs may be present. Rarely', 'bladder stones can occur at the onset of weakness in the lower extremities. Classically', 'syringomyelia spares the dorsal column / medial lemniscus of the spinal cord', 'leaving pressure', 'vibration', 'touch and proprioception intact in the upper extremities. Neuropathic arthropathy ', 'also known as a Charcot joint', 'can occur', 'particularly in the shoulders', 'in patients with syringomyelia. The loss of sensory fibers to the joint is theorized to lead to degeneration of the joint over time.']",1218,1,syringomyelia cause wide variety neuropathic symptom due damage spinal cord patient may experience severe chronic pain abnormal sensation loss sensation particularly hand patient experience paralysis paresis temporarily permanently syrinx may also cause disruption parasympathetic sympathetic nervous system leading abnormal body temperature sweating bowel control issue problem syrinx higher spinal cord affecting brainstem syringobulbia vocal cord paralysis ipsilateral tongue wasting trigeminal nerve sensory loss sign may present rarely bladder stone occur onset weakness lower extremity classically syringomyelia spare dorsal column medial lemniscus spinal cord leaving pressure vibration touch proprioception intact upper extremity neuropathic arthropathy also known charcot joint occur particularly shoulder patient syringomyelia loss sensory fiber joint theorized lead degeneration joint time
Systemic Lupus Erythematosus,"CellCept,Hydroxychloroquine,Plaquenil,Benlysta,Belimumab,Imuran,Azathioprine,Prednisone",Lupus,"Painful and swollen joints , fever , chest pain , hair loss , mouth ulcers , swollen lymph nodes , feeling tired , red rash",123,8,painful swollen joint fever chest pain hair loss mouth ulcer swollen lymph node feeling tired red rash
Systemic Mastocytosis,"Cromolyn,Rydapt",Mastocytosis,"['When mast cells undergo degranulation ', 'the substances that are released can cause a number of symptoms that can vary over time and can range in intensity from mild to severe. Because mast cells play a role in allergic reactions', 'the symptoms of mastocytosis often are similar to the symptoms of an allergic reaction. They may include', 'but are not limited to']",368,2,mast cell undergo degranulation substance released cause number symptom vary time range intensity mild severe mast cell play role allergic reaction symptom mastocytosis often similar symptom allergic reaction may include limited
Systemic Sclerosis,Methotrexate,Systemic scleroderma,"['C alcinosis ', ""R aynaud's phenomenon "", 'E sophageal dysfunction ', 'S clerodactyly ', 'and T elangiectasia ( CREST syndrome ) are associated with limited scleroderma. Other symptoms include:']",196,1,c alcinosis r aynauds phenomenon e sophageal dysfunction clerodactyly elangiectasia crest syndrome associated limited scleroderma symptom include
TSH Suppression,"Levothyroxine,NP Thyroid,Armour Thyroid,Thyroid desiccated",Anaplastic thyroid cancer,"['Anaplastic thyroid cancer typically manifests as a rapidly enlarging neck mass. Associated redness and swelling of the overlying skin sometimes occur. ATC commonly causes symptoms by compressing local structures', 'such as the esophagus ', 'carotid arteries ', 'recurrent laryngeal nerve ', 'and trachea . This compression of local anatomic structures may cause symptoms such as difficulty controlling the voice ', 'hoarseness ', 'difficulty swallowing ', 'or trouble breathing . Other symptoms include cough', 'neck pain', 'or symptoms from the spread of cancer to distant sites in the body ', 'such as the brain. ATC may rarely present with coughing up blood .']",666,4,anaplastic thyroid cancer typically manifest rapidly enlarging neck mass associated redness swelling overlying skin sometimes occur atc commonly cause symptom compressing local structure esophagus carotid artery recurrent laryngeal nerve trachea compression local anatomic structure may cause symptom difficulty controlling voice hoarseness difficulty swallowing trouble breathing symptom include cough neck pain symptom spread cancer distant site body brain atc may rarely present coughing blood
Temporomandibular Joint Disorde,"Diazepam,Piroxicam,Clonazepam,Cyclobenzaprine",,nan,3,4,nan
Tendonitis,"Meloxicam,Indocin SR,Naprosyn,Trolamine salicylate,Naproxen,Anaprox,Indomethacin,Mobic",Tendinopathy,"Pains, swelling",15,8,pain swelling
Thrombocythemia,Hydroxyurea,Thrombocythemia,"['High platelet counts do not necessarily signal any clinical problems', 'and can be picked up on a routine full blood count . However', 'it is important that a full medical history be elicited to ensure that the increased platelet count is not due to a secondary process. Often', 'it occurs in tandem with an inflammatory disease as the principal stimulants of platelet production (e.g. thrombopoietin ) are elevated in these clinical states as part of the acute phase reaction . High platelet counts can occur in patients with polycythemia vera (high red blood cell counts)', 'and is an additional risk factor for complications.']",632,1,high platelet count necessarily signal clinical problem picked routine full blood count however important full medical history elicited ensure increased platelet count due secondary process often occurs tandem inflammatory disease principal stimulant platelet production eg thrombopoietin elevated clinical state part acute phase reaction high platelet count occur patient polycythemia vera high red blood cell count additional risk factor complication
Thyroid Cance,"Sorafenib,Armour Thyroid,Nature-Throid,Thyroid desiccated",Type 1 diabetes,"Frequent urination , increased thirst , increased hunger , weight loss , blurred vision , fatigue and weakness , Bed-wetting in children who previously didn't wet the bed during the night",187,4,frequent urination increased thirst increased hunger weight loss blurred vision fatigue weakness bedwetting child previously didnt wet bed night
Thyrotoxicosis,Inderal,Hyperthyroidism,"Irritability, muscle weakness, sleeping problems, fast heartbeat , heat intolerance , diarrhea , enlargement of the thyroid , weight loss",137,1,irritability muscle weakness sleeping problem fast heartbeat heat intolerance diarrhea enlargement thyroid weight loss
Tinea Corporis,"Zeasorb-AF,Oxistat,Clotrimazole,Econazole,Undecylenic acid",Tinea corporis,"['It may have a variety of appearances; most easily identifiable are the enlarging raised red rings with a central area of clearing ( ringworm ). The same appearances of ringworm may also occur on the scalp ( tinea capitis )', 'beard area ( tinea barbae ) or the groin ( tinea cruris ', 'known as jock itch or dhobi itch).']",324,5,may variety appearance easily identifiable enlarging raised red ring central area clearing ringworm appearance ringworm may also occur scalp tinea capitis beard area tinea barbae groin tinea cruris known jock itch dhobi itch
Tinea Cruris,"Undecylenic acid,Fulvicin U / F,Miconazole,Naftifine,Lamisil AT,Gris-PEG",Tinea cruris,"Itch, rash in groin",19,6,itch rash groin
Tinea Pedis,"Ertaczo,Terbinafine,Econazole,Miconazole,Lamisil,Naftin",Athlete's foot,"Itching, scaling, redness of the foot",37,6,itching scaling redness foot
Tinea Versicol,"Ketoconazole,Fluconazole,Econazole,Selenium sulfide,Tolnaftate,Selsun Blue",,nan,3,6,nan
Tinnitus,"Alprazolam,Xanax",Tinnitus,Hearing sound when no external sound is present,47,2,hearing sound external sound present
Tonsillitis/Pharyngitis,"Omnicef,Cefdinir,Clarithromycin,Azithromycin,Amoxicillin,Cefzil",Tonsillitis,"Sore throat , fever , enlargement of the tonsils, trouble swallowing, large lymph nodes around the neck",103,6,sore throat fever enlargement tonsil trouble swallowing large lymph node around neck
Topical Disinfection,Silver nitrate,Topical steroid withdrawal,"Red skin , burning sensation, desquamation, itchiness",53,1,red skin burning sensation desquamation itchiness
Tourette's Syndrome,"Abilify,Clonidine,Guanfacine,Pimozide,Orap,Haldol,Quetiapine,Zyprexa,Aripiprazole",Tourette syndrome,Tics,4,9,tic
Transient Ischemic Attack,Clopidogrel,Transient ischemic attack,"['Signs and symptoms of TIA are widely variable and can mimic other neurologic conditions', 'making the clinical context and physical exam crucial in ruling in or out the diagnosis. The most common presenting symptoms of TIA are focal neurologic deficits', 'which can include', 'but are not limited to:']",304,1,sign symptom tia widely variable mimic neurologic condition making clinical context physical exam crucial ruling diagnosis common presenting symptom tia focal neurologic deficit include limited
Traveler's Diarrhea,"Rifaximin,Loperamide",Travelers' diarrhea,"Unformed stool while traveling, fever, abdominal cramps, headache",65,2,unformed stool traveling fever abdominal cramp headache
Trichomoniasis,"Metronidazole,Tindamax",Trichomoniasis,"Itching in the genital area , bad smelling thin vaginal discharge , burning with urination, pain with sex",105,2,itching genital area bad smelling thin vaginal discharge burning urination pain sex
Trichotillomania,Paxil,Trichotillomania,"Visible hair loss , distress",28,1,visible hair loss distress
Trigeminal Neuralgia,"Carbamazepine,Tegretol,Oxcarbazepine,Baclofen,Tegretol XR,Topiramate,Carbatrol,Topamax,Gabapentin,Neurontin,Trileptal",Trigeminal neuralgia,"Typical : episodes of severe, sudden, shock-like pain in one side of the face that lasts for seconds to minutes Atypical : constant burning pain",144,11,typical episode severe sudden shocklike pain one side face last second minute atypical constant burning pain
"Tuberculosis, Latent","Isoniazid,Rifampin",Tuberculosis,"Chronic cough , fever , cough with bloody mucus , weight loss",61,2,chronic cough fever cough bloody mucus weight loss
Tympanostomy Tube Placement Surgery,Ciprofloxacin,Pierre Robin sequence,"Micrognathia , glossoptosis , obstruction of the upper airway , sometimes cleft palate",86,1,micrognathia glossoptosis obstruction upper airway sometimes cleft palate
Ulcerative Colitis,"Mesalamine,Infliximab,Asacol,Colazal,CellCept,Uceris,Prednisone,Mycophenolate mofetil,Sulfasalazine,Imuran,Budesonide,Vedolizumab,Simponi,Humira,Azathioprine,Adalimumab,Dexamethasone,Remicade,Balsalazide,Lialda,Sulfazine,Rowasa,Salofalk",Ulcerative colitis,"Abdominal pain , diarrhea mixed with blood , weight loss , fever , anemia , dehydration , loss of appetite, fatigue , sores on the skin, urgency to defecate, inability to defecate despite urgency, rectal pain",208,23,abdominal pain diarrhea mixed blood weight loss fever anemia dehydration loss appetite fatigue sore skin urgency defecate inability defecate despite urgency rectal pain
